ts_utc,ts_ms,date_cn,base,symbol,venue,trade_id,side,price,size,notional_usd
2026-09-13T15:26:11.253Z,1789313171253,2026-09-13,TSLA,RTSLAUSDT,spot,1483052419442798592,sell,363.13,0.0325,11.801725
2026-09-13T15:26:04.576Z,1789313164576,2026-09-13,TSLA,RTSLAUSDT,spot,1483052391437430784,buy,363.2,0.0302,10.96864
2026-09-13T15:25:57.592Z,1789313157592,2026-09-13,TSLA,RTSLAUSDT,spot,1483052362144411650,sell,363.13,0.2542,92.307646
2026-09-13T15:25:57.592Z,1789313157592,2026-09-13,TSLA,RTSLAUSDT,spot,1483052362144411648,sell,363.16,0.0094,3.413704
2026-09-13T15:25:51.158Z,1789313151158,2026-09-13,TSLA,RTSLAUSDT,spot,1483052335158259712,buy,363.2,0.2636,95.73952
2026-09-13T15:25:41.190Z,1789313141190,2026-09-13,TSLA,RTSLAUSDT,spot,1483052293349437440,sell,363.16,0.2639,95.837924
2026-09-13T15:25:34.902Z,1789313134902,2026-09-13,TSLA,RTSLAUSDT,spot,1483052266975653888,buy,363.21,0.2639,95.851119
2026-09-13T15:25:27.662Z,1789313127662,2026-09-13,TSLA,RTSLAUSDT,spot,1483052236608892928,sell,363.16,0.2642,95.946872
2026-09-13T15:25:21.616Z,1789313121616,2026-09-13,TSLA,RTSLAUSDT,spot,1483052211250130944,buy,363.22,0.2642,95.962724
2026-09-13T15:25:15.219Z,1789313115219,2026-09-13,TSLA,RTSLAUSDT,spot,1483052184419168256,sell,363.16,0.2645,96.05582
2026-09-13T15:25:08.364Z,1789313108364,2026-09-13,TSLA,RTSLAUSDT,spot,1483052155667214336,buy,363.23,0.2645,96.074335
2026-09-13T15:25:01.131Z,1789313101131,2026-09-13,TSLA,RTSLAUSDT,spot,1483052125329813506,sell,363.13,0.0111,4.030743
2026-09-13T15:25:01.131Z,1789313101131,2026-09-13,TSLA,RTSLAUSDT,spot,1483052125329813504,sell,363.16,0.2537,92.133692
2026-09-13T15:24:54.223Z,1789313094223,2026-09-13,TSLA,RTSLAUSDT,spot,1483052096355561472,buy,363.24,0.2648,96.185952
2026-09-13T15:24:43.032Z,1789313083032,2026-09-13,TSLA,RTSLAUSDT,spot,1483052049417105408,sell,363.16,0.0323,11.730068
2026-09-13T15:24:37.145Z,1789313077145,2026-09-13,TSLA,RTSLAUSDT,spot,1483052024725237760,buy,363.24,0.0302,10.969848
2026-09-13T15:24:29.518Z,1789313069518,2026-09-13,TSLA,RTSLAUSDT,spot,1483051992735281152,sell,363.07,0.2449,88.915843
2026-09-13T15:24:21.233Z,1789313061233,2026-09-13,TSLA,RTSLAUSDT,spot,1483051957985472514,buy,363.47,0.1842,66.951174
2026-09-13T15:24:21.233Z,1789313061233,2026-09-13,TSLA,RTSLAUSDT,spot,1483051957985472512,buy,363.46,0.0606,22.025676
2026-09-13T15:24:11.684Z,1789313051684,2026-09-13,TSLA,RTSLAUSDT,spot,1483051917934063616,sell,363.23,0.2452,89.063996
2026-09-13T15:24:04.665Z,1789313044665,2026-09-13,TSLA,RTSLAUSDT,spot,1483051888494243840,buy,363.46,0.2452,89.120392
2026-09-13T15:23:57.582Z,1789313037582,2026-09-13,TSLA,RTSLAUSDT,spot,1483051858785988608,sell,363.29,0.2456,89.224024
2026-09-13T15:23:50.072Z,1789313030072,2026-09-13,TSLA,RTSLAUSDT,spot,1483051827286765570,buy,363.46,0.2192,79.670432
2026-09-13T15:23:50.072Z,1789313030072,2026-09-13,TSLA,RTSLAUSDT,spot,1483051827286765568,buy,363.42,0.029,10.53918
2026-09-13T15:19:29.109Z,1789312769109,2026-09-13,TSLA,RTSLAUSDT,spot,1483050732728610816,sell,363.26,0.4789,173.965214
2026-09-13T15:19:10.409Z,1789312750409,2026-09-13,TSLA,RTSLAUSDT,spot,1483050654295126020,sell,363.28,0.4166,151.342448
2026-09-13T15:19:10.409Z,1789312750409,2026-09-13,TSLA,RTSLAUSDT,spot,1483050654295126018,sell,363.31,0.619,224.88889
2026-09-13T15:19:10.409Z,1789312750409,2026-09-13,TSLA,RTSLAUSDT,spot,1483050654295126016,sell,363.35,0.401,145.70335
2026-09-13T15:19:10.396Z,1789312750396,2026-09-13,TSLA,RTSLAUSDT,spot,1483050654240600064,sell,363.37,1.4365,521.981005
2026-09-13T15:19:10.378Z,1789312750378,2026-09-13,TSLA,RTSLAUSDT,spot,1483050654165102592,sell,363.4,1.4365,522.0241
2026-09-13T15:17:48.670Z,1789312668670,2026-09-13,TSLA,RTSLAUSDT,spot,1483050311456911360,sell,363.35,0.265,96.28775
2026-09-13T15:17:42.543Z,1789312662543,2026-09-13,TSLA,RTSLAUSDT,spot,1483050285758410752,buy,363.42,0.265,96.3063
2026-09-13T15:17:35.245Z,1789312655245,2026-09-13,TSLA,RTSLAUSDT,spot,1483050255148380160,sell,363.29,0.2654,96.417166
2026-09-13T15:17:28.163Z,1789312648163,2026-09-13,TSLA,RTSLAUSDT,spot,1483050225444319232,buy,363.51,0.2653,96.439203
2026-09-13T15:17:22.270Z,1789312642270,2026-09-13,TSLA,RTSLAUSDT,spot,1483050200727285760,sell,363.33,0.2657,96.536781
2026-09-13T15:17:15.511Z,1789312635511,2026-09-13,TSLA,RTSLAUSDT,spot,1483050172377985024,buy,363.53,0.2658,96.626274
2026-09-13T15:17:06.563Z,1789312626563,2026-09-13,TSLA,RTSLAUSDT,spot,1483050134847352834,sell,363.35,0.1295,47.053825
2026-09-13T15:17:06.563Z,1789312626563,2026-09-13,TSLA,RTSLAUSDT,spot,1483050134847352832,sell,363.38,0.134,48.69292
2026-09-13T15:16:59.318Z,1789312619318,2026-09-13,TSLA,RTSLAUSDT,spot,1483050104459620354,buy,363.53,0.0179,6.507187
2026-09-13T15:16:59.318Z,1789312619318,2026-09-13,TSLA,RTSLAUSDT,spot,1483050104459620352,buy,363.5,0.2455,89.23925
2026-09-13T15:16:53.151Z,1789312613151,2026-09-13,TSLA,RTSLAUSDT,spot,1483050078593347584,sell,363.39,0.2664,96.807096
2026-09-13T15:15:55.802Z,1789312555802,2026-09-13,TSLA,RTSLAUSDT,spot,1483049838054207488,buy,363.5,0.2665,96.87275
2026-09-13T15:12:19.856Z,1789312339856,2026-09-13,TSLA,RTSLAUSDT,spot,1483048932311035906,sell,363.4,0.7817,284.06978
2026-09-13T15:12:19.856Z,1789312339856,2026-09-13,TSLA,RTSLAUSDT,spot,1483048932311035904,sell,363.42,0.655,238.0401
2026-09-13T15:11:49.471Z,1789312309471,2026-09-13,TSLA,RTSLAUSDT,spot,1483048804867108866,sell,363.38,0.21,76.3098
2026-09-13T15:11:49.471Z,1789312309471,2026-09-13,TSLA,RTSLAUSDT,spot,1483048804867108864,sell,363.42,0.0569,20.678598
2026-09-13T15:11:41.174Z,1789312301174,2026-09-13,TSLA,RTSLAUSDT,spot,1483048770066968578,buy,363.55,0.06,21.813
2026-09-13T15:11:41.174Z,1789312301174,2026-09-13,TSLA,RTSLAUSDT,spot,1483048770066968576,buy,363.51,0.2068,75.173868
2026-09-13T15:11:33.935Z,1789312293935,2026-09-13,TSLA,RTSLAUSDT,spot,1483048739704401920,sell,363.42,0.2671,97.069482
2026-09-13T15:11:26.055Z,1789312286055,2026-09-13,TSLA,RTSLAUSDT,spot,1483048706653286400,buy,363.51,0.2672,97.129872
2026-09-13T15:11:15.595Z,1789312275595,2026-09-13,TSLA,RTSLAUSDT,spot,1483048662780866562,sell,363.36,0.2371,86.152656
2026-09-13T15:11:15.595Z,1789312275595,2026-09-13,TSLA,RTSLAUSDT,spot,1483048662780866560,sell,363.44,0.0305,11.08492
2026-09-13T15:11:08.161Z,1789312268161,2026-09-13,TSLA,RTSLAUSDT,spot,1483048631600410624,buy,363.69,0.2675,97.287075
2026-09-13T15:10:57.963Z,1789312257963,2026-09-13,TSLA,RTSLAUSDT,spot,1483048588826898434,sell,363.44,0.1778,64.619632
2026-09-13T15:10:57.963Z,1789312257963,2026-09-13,TSLA,RTSLAUSDT,spot,1483048588826898432,sell,363.46,0.0901,32.747746
2026-09-13T15:10:49.103Z,1789312249103,2026-09-13,TSLA,RTSLAUSDT,spot,1483048551665364992,buy,363.69,0.2679,97.432551
2026-09-13T15:10:39.811Z,1789312239811,2026-09-13,TSLA,RTSLAUSDT,spot,1483048512691892226,sell,363.46,0.1998,72.619308
2026-09-13T15:10:39.811Z,1789312239811,2026-09-13,TSLA,RTSLAUSDT,spot,1483048512691892224,sell,363.5,0.0686,24.9361
2026-09-13T15:10:32.060Z,1789312232060,2026-09-13,TSLA,RTSLAUSDT,spot,1483048480181841920,buy,363.69,0.2684,97.614396
2026-09-13T15:10:23.368Z,1789312223368,2026-09-13,TSLA,RTSLAUSDT,spot,1483048443724951552,sell,363.5,0.2688,97.7088
2026-09-13T15:10:14.802Z,1789312214802,2026-09-13,TSLA,RTSLAUSDT,spot,1483048407796543490,buy,363.69,0.0986,35.859834
2026-09-13T15:10:14.802Z,1789312214802,2026-09-13,TSLA,RTSLAUSDT,spot,1483048407796543488,buy,363.6,0.1726,62.75736
2026-09-13T15:00:00.161Z,1789311600161,2026-09-13,TSLA,RTSLAUSDT,spot,1483045829805338624,buy,363.6,0.0825,29.997
2026-09-13T15:00:00.059Z,1789311600059,2026-09-13,TSLA,RTSLAUSDT,spot,1483045829377519618,buy,363.6,0.055,19.998
2026-09-13T14:40:00.057Z,1789310400057,2026-09-13,TSLA,RTSLAUSDT,spot,1483040796204331008,buy,363.6,0.0825,29.997
2026-09-13T14:30:00.140Z,1789309800140,2026-09-13,TSLA,RTSLAUSDT,spot,1483038279970058240,buy,363.6,0.066,23.9976
2026-09-13T14:30:00.075Z,1789309800075,2026-09-13,TSLA,RTSLAUSDT,spot,1483038279697428484,buy,363.6,0.2113,76.82868
2026-09-13T14:30:00.075Z,1789309800075,2026-09-13,TSLA,RTSLAUSDT,spot,1483038279697428482,buy,363.56,0.6138,223.153128
2026-09-13T13:54:12.034Z,1789307652034,2026-09-13,TSLA,RTSLAUSDT,spot,1483029270160470016,sell,363.5,0.0326,11.8501
2026-09-13T13:54:05.018Z,1789307645018,2026-09-13,TSLA,RTSLAUSDT,spot,1483029240733233152,buy,363.56,0.0302,10.979512
2026-09-13T13:53:48.930Z,1789307628930,2026-09-13,TSLA,RTSLAUSDT,spot,1483029173255270402,sell,363.46,0.0011,0.399806
2026-09-13T13:53:48.930Z,1789307628930,2026-09-13,TSLA,RTSLAUSDT,spot,1483029173255270400,sell,363.5,0.2658,96.6183
2026-09-13T13:53:34.644Z,1789307614644,2026-09-13,TSLA,RTSLAUSDT,spot,1483029113335443458,buy,363.6,0.0631,22.94316
